"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.343568100E-2,0.000000000E0,0.000000000E0,0.000000000E0,0.000000000E0
5.817776400E-2,-5.585789680E-2,-4.129362106E-2,-2.512884140E-2,7.386965849E-2
6.291990000E-2,-9.475588799E-2,-9.141969681E-2,-4.832839966E-2,1.402564561E-1
6.766198300E-2,-1.231565475E-1,-1.716456413E-1,-9.466600418E-2,2.314981938E-1
7.240406600E-2,-1.457855701E-1,-2.283859253E-1,-2.066168785E-1,3.407405139E-1
7.714620200E-2,-2.198994160E-1,-2.711682320E-1,-3.721776009E-1,5.102980793E-1
8.188828500E-2,-2.294790745E-1,-2.968168259E-1,-5.082836151E-1,6.317539926E-1
8.663036800E-2,-2.397184372E-1,-3.184866905E-1,-6.360483170E-1,7.506371711E-1
9.137250400E-2,-1.686577797E-1,-3.014440536E-1,-7.621245384E-1,8.367483350E-1
9.611458700E-2,-9.917807579E-2,-2.694106102E-1,-8.056797981E-1,8.553001255E-1
1.008566710E-1,3.814172745E-2,-2.201681137E-1,-8.406376839E-1,8.698278595E-1
1.055988060E-1,1.540997028E-1,-1.295852661E-1,-9.285097122E-1,9.500891249E-1
1.103408890E-1,2.778565884E-1,-7.878208160E-2,-1.041257858E0,1.080568752E0
1.150829730E-1,4.212098122E-1,-6.853532791E-2,-1.086401939E0,1.167212051E0
1.198251080E-1,5.842957497E-1,-2.237367630E-2,-1.016446590E0,1.172631986E0
1.245671910E-1,6.349611282E-1,4.408740997E-2,-7.986545563E-1,1.021258260E0
1.293092750E-1,5.867421627E-1,8.269739151E-2,-6.150321960E-1,8.540315136E-1
1.340514100E-1,4.369671345E-1,7.933759689E-2,-6.364002228E-1,7.760412196E-1
1.387934930E-1,2.074441910E-1,-2.500534058E-3,-7.386074066E-1,7.671898371E-1
1.435355770E-1,-1.069116592E-2,-7.754945755E-2,-7.451348305E-1,7.492357006E-1
1.482776600E-1,-1.506607533E-1,-2.446055412E-1,-8.130578995E-1,8.623187817E-1
1.530197960E-1,-3.631005287E-1,-3.768358231E-1,-9.260702133E-1,1.063697923E0
1.577618790E-1,-5.772836208E-1,-4.372496605E-1,-1.117040634E0,1.331248821E0
1.625039620E-1,-7.000329494E-1,-5.067410469E-1,-1.319351673E0,1.577187832E0
1.672460980E-1,-7.796933651E-1,-5.115771294E-1,-1.448365688E0,1.722613152E0
1.719881810E-1,-8.049929142E-1,-4.314527512E-1,-1.415201187E0,1.684327601E0
1.767302640E-1,-7.506504059E-1,-2.833700180E-1,-1.331605911E0,1.554653949E0
1.814723480E-1,-4.528436661E-1,-2.562313080E-1,-1.201272964E0,1.309113671E0
1.862144830E-1,-2.535660267E-1,-1.396131516E-1,-1.168604851E0,1.203920620E0
1.909565660E-1,2.299070358E-2,-7.692432404E-2,-1.220857143E0,1.223494213E0
1.956986500E-1,2.348077297E-1,-2.859354019E-2,-1.248613358E0,1.270821615E0
2.004407850E-1,4.177026749E-1,2.969455719E-2,-1.245632648E0,1.314137735E0
2.051828680E-1,4.924292564E-1,7.942390442E-2,-1.159154415E0,1.261916672E0
2.099249520E-1,4.161562920E-1,5.583333969E-2,-9.586639404E-1,1.046584909E0
2.146670350E-1,2.742085457E-1,-2.773571014E-2,-7.142791748E-1,7.656071680E-1
2.194091710E-1,1.649737358E-2,-1.702904701E-1,-4.498167038E-1,4.812546878E-1
2.241512540E-1,-2.965641022E-1,-3.826284409E-1,-2.117714882E-1,5.283956412E-1
2.288933370E-1,-6.389713287E-1,-6.798644066E-1,-7.833147049E-2,9.362883047E-1
2.336354730E-1,-9.643621445E-1,-9.972817898E-1,-4.913187027E-2,1.388156783E0
2.383775560E-1,-1.224851608E0,-1.257834911E0,-1.184129715E-2,1.755719323E0
2.431196390E-1,-1.476037741E0,-1.442335129E0,9.659528732E-2,2.065998230E0
2.478617230E-1,-1.608703852E0,-1.548438787E0,2.818174362E-1,2.250558115E0
2.526038580E-1,-1.494930029E0,-1.515228987E0,4.862785339E-1,2.183392197E0
2.573459410E-1,-1.042268991E0,-1.278195381E0,7.471909523E-1,1.810635911E0
2.620880250E-1,2.897596359E-2,-1.061484575E0,1.234871864E0,1.628649020E0
2.668301080E-1,9.515283108E-1,-6.647369862E-1,1.239269257E0,1.697960446E0
2.715721910E-1,1.719812274E0,-1.146068573E-1,1.440603733E0,2.246381113E0
2.763143270E-1,2.233120203E0,4.338588715E-1,1.818941116E0,2.912663068E0
2.810564100E-1,2.631205797E0,8.993268013E-1,2.042711258E0,3.450319105E0
2.857984930E-1,2.958660126E0,1.223188400E0,2.032754898E0,3.792354424E0
