,Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Absolute acceleration (m/s^2),labels
0,0.053435681,0.0,0.0,0.0,0.0,
1,0.058177764,-0.0558578968,-0.04129362106,-0.0251288414,0.07386965849,
2,0.0629199,-0.09475588799,-0.09141969681,-0.04832839966,0.1402564561,
3,0.067661983,-0.1231565475,-0.1716456413,-0.09466600418,0.2314981938,
4,0.072404066,-0.1457855701,-0.2283859253,-0.2066168785,0.3407405139,
5,0.077146202,-0.219899416,-0.271168232,-0.3721776009,0.5102980793,
6,0.081888285,-0.2294790745,-0.2968168259,-0.5082836151,0.6317539926,
7,0.086630368,-0.2397184372,-0.3184866905,-0.636048317,0.7506371711,
8,0.091372504,-0.1686577797,-0.3014440536,-0.7621245384,0.836748335,
9,0.096114587,-0.09917807579,-0.2694106102,-0.8056797981,0.8553001255,
10,0.100856671,0.03814172745,-0.2201681137,-0.8406376839,0.8698278595,
11,0.105598806,0.1540997028,-0.1295852661,-0.9285097122,0.9500891249,
12,0.110340889,0.2778565884,-0.0787820816,-1.041257858,1.080568752,
13,0.115082973,0.4212098122,-0.06853532791,-1.086401939,1.167212051,
14,0.119825108,0.5842957497,-0.0223736763,-1.01644659,1.172631986,
15,0.124567191,0.6349611282,0.04408740997,-0.7986545563,1.02125826,
16,0.129309275,0.5867421627,0.08269739151,-0.615032196,0.8540315136,
17,0.13405141,0.4369671345,0.07933759689,-0.6364002228,0.7760412196,
18,0.138793493,0.207444191,-0.002500534058,-0.7386074066,0.7671898371,
19,0.143535577,-0.01069116592,-0.07754945755,-0.7451348305,0.7492357006,
20,0.14827766,-0.1506607533,-0.2446055412,-0.8130578995,0.8623187817,
21,0.153019796,-0.3631005287,-0.3768358231,-0.9260702133,1.063697923,
22,0.157761879,-0.5772836208,-0.4372496605,-1.117040634,1.331248821,
23,0.162503962,-0.7000329494,-0.5067410469,-1.319351673,1.577187832,
24,0.167246098,-0.7796933651,-0.5115771294,-1.448365688,1.722613152,
25,0.171988181,-0.8049929142,-0.4314527512,-1.415201187,1.684327601,
26,0.176730264,-0.7506504059,-0.283370018,-1.331605911,1.554653949,
27,0.181472348,-0.4528436661,-0.256231308,-1.201272964,1.309113671,
28,0.186214483,-0.2535660267,-0.1396131516,-1.168604851,1.20392062,
29,0.190956566,0.02299070358,-0.07692432404,-1.220857143,1.223494213,
30,0.19569865,0.2348077297,-0.02859354019,-1.248613358,1.270821615,
31,0.200440785,0.4177026749,0.02969455719,-1.245632648,1.314137735,
32,0.205182868,0.4924292564,0.07942390442,-1.159154415,1.261916672,
33,0.209924952,0.416156292,0.05583333969,-0.9586639404,1.046584909,
34,0.214667035,0.2742085457,-0.02773571014,-0.7142791748,0.765607168,
35,0.219409171,0.01649737358,-0.1702904701,-0.4498167038,0.4812546878,
36,0.224151254,-0.2965641022,-0.3826284409,-0.2117714882,0.5283956412,
