"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.155172200E-2,0.000000000E0,0.000000000E0,0.000000000E0,0.000000000E0
5.629302400E-2,3.945446014E-2,-3.330993652E-2,-4.021739960E-2,6.544956476E-2
6.103437800E-2,7.196831703E-2,-6.621551514E-2,-6.543493271E-2,1.176675976E-1
6.577568000E-2,7.956385612E-2,-8.781719208E-2,-8.837461472E-2,1.478253664E-1
7.051703400E-2,8.655953407E-2,-9.108734131E-2,-9.096145630E-2,1.551239608E-1
7.525833600E-2,1.075322628E-1,-9.075546265E-2,-8.235073090E-2,1.630379846E-1
7.999969000E-2,1.321144104E-1,-8.803796768E-2,-8.088827133E-2,1.781791616E-1
8.474104500E-2,1.493797302E-1,-8.657169342E-2,-7.655334473E-2,1.888633805E-1
8.948234700E-2,1.663086414E-1,-8.366823196E-2,-6.043148041E-2,1.957317069E-1
9.422370100E-2,1.740627289E-1,-8.789253235E-2,-2.416229248E-2,1.964859975E-1
9.896500300E-2,1.840734482E-1,-9.648656845E-2,3.601360321E-2,2.109257496E-1
1.037063570E-1,2.113857269E-1,-1.093010902E-1,1.152119637E-1,2.643944978E-1
1.084476590E-1,2.506601810E-1,-1.218023300E-1,2.002882957E-1,3.431934373E-1
1.131890130E-1,3.193786144E-1,-1.497249603E-1,2.877078056E-1,4.551879222E-1
1.179303680E-1,3.939874172E-1,-1.923828125E-1,3.717703819E-1,5.748481959E-1
1.226716700E-1,4.612727165E-1,-2.584371567E-1,4.672622681E-1,7.056176799E-1
1.274130240E-1,5.243802071E-1,-3.404660225E-1,5.700173378E-1,8.460564280E-1
1.321543260E-1,5.976302624E-1,-4.337944984E-1,6.783547401E-1,1.002748598E0
1.368956800E-1,6.720576286E-1,-5.521583557E-1,7.974462509E-1,1.180025775E0
1.416370340E-1,7.615535259E-1,-6.906442642E-1,9.275741577E-1,1.384683029E0
1.463783360E-1,8.724094629E-1,-8.264260292E-1,1.064361095E0,1.605285892E0
1.511196900E-1,9.926402569E-1,-9.674444199E-1,1.224378109E0,1.849428328E0
1.558609930E-1,1.112951636E0,-1.125852108E0,1.393690586E0,2.109165182E0
