"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.018589000E-2,0.000000000E0,0.000000000E0,0.000000000E0,0.000000000E0
5.492771300E-2,-5.449056625E-2,-9.737014771E-4,4.158020020E-3,5.465765304E-2
5.966953600E-2,-4.953420162E-2,-2.068042755E-3,2.603769302E-2,5.599888739E-2
6.441141100E-2,-2.091443539E-2,-1.053857803E-2,4.597234726E-2,5.159391386E-2
6.915323400E-2,3.010475636E-2,8.528709412E-3,8.832883835E-2,9.370709111E-2
7.389505600E-2,8.865070343E-2,8.633613586E-3,7.373905182E-2,1.156327560E-1
7.863693100E-2,1.193462610E-1,4.820823669E-3,-3.501415253E-2,1.244699210E-1
8.337875400E-2,1.279624701E-1,-3.509521484E-4,-1.602983475E-1,2.051099147E-1
8.812057700E-2,1.268357038E-1,1.032161713E-2,-2.766389847E-1,3.045044489E-1
9.286240000E-2,1.011165380E-1,1.412725449E-2,-3.400254250E-1,3.550231305E-1
9.760427500E-2,4.327619076E-2,2.477931976E-2,-3.711223602E-1,3.744578076E-1
1.023460980E-1,-5.629992485E-2,8.139038086E-2,-3.659849167E-1,3.791293116E-1
1.070879210E-1,-1.054491997E-1,1.215381622E-1,-3.688654900E-1,4.024336073E-1
1.118297440E-1,-1.463859081E-1,1.513323784E-1,-4.212107658E-1,4.709021471E-1
1.165716190E-1,-1.711953878E-1,1.516180038E-1,-4.753475189E-1,5.274951598E-1
1.213134420E-1,-1.541345119E-1,1.173691750E-1,-4.572873116E-1,4.966333218E-1
1.260552650E-1,-1.716789007E-1,6.825542450E-2,-4.203963280E-1,4.592009587E-1
1.307970880E-1,-1.718263626E-1,5.213403702E-2,-3.334746361E-1,3.787447552E-1
1.355389110E-1,-1.300567389E-1,3.519105911E-2,-1.959385872E-1,2.377921275E-1
1.402807860E-1,-8.431255817E-2,2.842378616E-2,-4.554319382E-2,9.995349713E-2
1.450226090E-1,-5.227875710E-2,1.385688782E-3,1.068286896E-1,1.189426647E-1
1.497644310E-1,-2.353274822E-2,-3.393077850E-2,2.986416817E-1,3.014829050E-1
1.545062540E-1,1.012127399E-1,-7.072019577E-2,4.743213654E-1,4.901286795E-1
1.592481290E-1,1.262153387E-1,-8.862066269E-2,6.400113106E-1,6.583300170E-1
1.639899520E-1,8.108091354E-2,-7.720565796E-2,7.255969048E-1,7.341836939E-1
1.687317750E-1,6.485807896E-2,-8.816671371E-2,7.158532143E-1,7.241724685E-1
1.734736500E-1,4.843008518E-2,-6.059837341E-2,6.001615524E-1,6.051541333E-1
1.782154730E-1,7.293331623E-2,-4.779338837E-3,4.347434044E-1,4.408445739E-1
1.829572960E-1,5.556714535E-2,3.722476959E-2,2.620530128E-1,2.704536423E-1
1.876991190E-1,2.714204788E-2,5.937051773E-2,4.679393768E-2,8.031949790E-2
1.924409420E-1,-7.983565331E-3,8.352470398E-2,-1.595454216E-1,1.802632937E-1
1.971828170E-1,-1.996290684E-2,8.912944794E-2,-3.185844421E-1,3.314191046E-1
2.019246400E-1,-9.762763977E-3,8.868408203E-2,-4.532418251E-1,4.619397471E-1
2.066664630E-1,-2.468800545E-2,7.798385620E-2,-5.786471367E-1,5.844001097E-1
2.114082860E-1,-7.568085194E-2,8.057355881E-2,-6.208539009E-1,6.306181539E-1
2.161501610E-1,-1.498351097E-1,6.109046936E-2,-5.727739334E-1,5.951912166E-1
2.208919840E-1,-1.740334034E-1,2.463054657E-2,-4.854893684E-1,5.163276249E-1
2.256338060E-1,-1.630256176E-1,2.956008911E-2,-3.362178802E-1,3.748247775E-1
2.303756290E-1,-1.475473642E-1,2.570915222E-2,-2.031087875E-1,2.523576129E-1
2.351175040E-1,-1.295100451E-1,-5.138397217E-3,-8.797359467E-2,1.566480394E-1
2.398593270E-1,-2.436017990E-2,-7.556915283E-2,-4.321527481E-1,4.393860636E-1
2.446011500E-1,1.165747643E-2,-5.965471268E-2,-1.071662903E-1,1.232038769E-1
2.493429730E-1,9.437382221E-2,-9.357929230E-3,8.899545670E-2,1.300545288E-1
2.540847960E-1,1.408816576E-1,5.347681046E-2,1.688699722E-1,2.263282533E-1
2.588266710E-1,7.763898373E-2,1.005868912E-1,3.131027222E-1,3.379036092E-1
2.635684940E-1,-3.462457657E-2,7.618999481E-2,3.049015999E-1,3.161783709E-1
2.683103170E-1,-2.052476406E-1,4.255867004E-2,2.833185196E-1,3.524304441E-1
2.730521400E-1,-4.926240444E-1,4.147911072E-2,4.129352570E-1,6.441385660E-1
2.777940150E-1,-1.113403082E0,-7.124948502E-2,6.135792732E-1,1.273272334E0
2.825358380E-1,-9.513765574E-1,1.498894691E-1,7.245349884E-1,1.205211665E0
