"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.983069700E-2,0.000000000E0,0.000000000E0,0.000000000E0,0.000000000E0
5.457293700E-2,-6.470227242E-2,3.159761429E-3,-1.128206253E-1,1.300955866E-1
5.931517600E-2,-1.919293404E-1,-7.681846619E-3,-2.476415634E-1,3.134042539E-1
6.405741600E-2,-4.022357464E-1,-6.306576729E-2,-4.190502167E-1,5.842721718E-1
6.879965500E-2,-3.905675411E-1,-1.034998894E-1,-5.305595398E-1,6.668947867E-1
7.354194700E-2,-1.105804443E-1,-1.361370087E-3,-4.963426590E-1,5.085134444E-1
7.828418700E-2,7.788658142E-3,5.574750900E-2,-1.589174271E-1,1.685918046E-1
8.302642600E-2,-7.547855377E-2,-2.704954147E-1,2.846298218E-1,3.998486175E-1
8.776866600E-2,-1.104917526E-1,-4.613931179E-1,2.219953537E-1,5.238071914E-1
9.251090500E-2,-1.168742180E-1,-4.937508106E-1,2.287511826E-1,5.565757355E-1
9.725314500E-2,3.341507912E-2,-3.051824570E-1,-1.536178589E-2,3.073904423E-1
1.019953850E-1,1.162526608E-1,-1.644420624E-1,-7.874584198E-2,2.162331627E-1
1.067376240E-1,1.341707706E-1,-1.982388496E-1,-3.994369507E-2,2.426848491E-1
1.114798640E-1,-3.542542458E-2,-2.636842728E-1,5.421352386E-2,2.715206485E-1
1.162221030E-1,-2.261919975E-1,-3.933370113E-1,1.473464966E-1,4.770616462E-1
1.209643430E-1,-2.883687019E-1,-4.116880894E-1,1.482973099E-1,5.240569466E-1
1.257065820E-1,-1.691222191E-1,-4.065461159E-1,1.886205673E-1,4.790196110E-1
1.304488220E-1,-9.184694290E-2,-3.858480453E-1,3.185691833E-1,5.087247779E-1
1.351910620E-1,3.970456123E-2,-2.615277767E-1,5.728607178E-1,6.309854453E-1
1.399333010E-1,7.309460640E-1,2.732896805E-2,4.091701508E-1,8.381224453E-1
1.446755410E-1,1.050539970E0,2.028679848E-1,4.276838303E-1,1.152260000E0
1.494177800E-1,1.135326862E0,4.358358383E-1,3.343629837E-1,1.261236920E0
1.541600200E-1,1.291486979E0,7.002320290E-1,5.573177338E-2,1.470159699E0
1.589022600E-1,1.457654715E0,9.530756474E-1,-3.097343445E-1,1.768910914E0
1.636444990E-1,1.592978120E0,1.146275997E0,-6.933536530E-1,2.081409916E0
1.683867390E-1,1.708052397E0,1.297392368E0,-1.093634129E0,2.407634847E0
1.731289780E-1,1.713643789E0,1.310025215E0,-1.437679291E0,2.592231248E0
1.778712180E-1,1.698685169E0,1.235879421E0,-1.735617638E0,2.724939969E0
1.826134570E-1,1.596678734E0,1.041248083E0,-1.955255032E0,2.730678082E0
1.873556970E-1,1.357116461E0,8.156273365E-1,-2.088162899E0,2.620579580E0
1.920979370E-1,1.046876550E0,5.874369144E-1,-2.042254925E0,2.368931788E0
1.968401760E-1,8.950521946E-1,3.121702671E-1,-1.931846142E0,2.151882483E0
2.015824160E-1,7.024569511E-1,1.596260071E-2,-1.674566269E0,1.816004615E0
2.063246550E-1,4.320151806E-1,-4.454283714E-1,-1.322332382E0,1.460686989E0
2.110668950E-1,1.905734539E-1,-7.939221859E-1,-1.030413628E0,1.314679779E0
2.158091350E-1,-8.633399010E-2,-1.029088736E0,-8.244366646E-1,1.321428393E0
2.205513740E-1,-2.936885357E-1,-1.175725698E0,-6.573758125E-1,1.378668500E0
2.252936140E-1,-4.431684017E-1,-1.236740351E0,-5.301542282E-1,1.416682192E0
2.300358530E-1,-6.650619507E-1,-1.217150450E0,-4.927701950E-1,1.471932431E0
2.347780930E-1,-8.976199627E-1,-1.121512890E0,-5.336146355E-1,1.532402473E0
2.395203320E-1,-1.101504087E0,-1.072890043E0,-6.346321106E-1,1.663478949E0
2.442625720E-1,-1.228510857E0,-9.692902565E-1,-7.876024246E-1,1.751879021E0
2.490048120E-1,-1.156998158E0,-9.377238750E-1,-8.865523338E-1,1.733189500E0
2.537470510E-1,-7.708659172E-1,-8.638896942E-1,-1.171960831E0,1.647431897E0
2.584892910E-1,-3.456861973E-1,-7.832396030E-1,-1.288950920E0,1.547371222E0
2.632315300E-1,-2.106056213E-1,-6.928906441E-1,-1.058301449E0,1.282362713E0
2.679737180E-1,5.733609200E-2,-6.519737244E-1,-9.838452339E-1,1.181655030E0
2.727160100E-1,4.940123558E-1,-5.986394882E-1,-1.034500122E0,1.293293450E0
2.774581970E-1,8.141218424E-1,-4.438657761E-1,-1.121233940E0,1.454983419E0
2.822004370E-1,1.014961481E0,-2.905015945E-1,-1.142614365E0,1.555668850E0
2.869426760E-1,1.136162758E0,-1.316399574E-1,-1.010685444E0,1.526328915E0
2.916849160E-1,1.179287314E0,5.807614326E-2,-6.505408287E-1,1.348070762E0
2.964271550E-1,1.198441505E0,1.553351879E-1,-1.031246185E-1,1.212858503E0
3.011693950E-1,1.242987871E0,1.355428696E-1,3.920297623E-1,1.310373249E0
3.059116350E-1,1.281108260E0,7.560253143E-2,7.992630005E-1,1.511878124E0
3.106538740E-1,1.207939506E0,3.917098045E-2,1.125537872E0,1.651510738E0
3.153961140E-1,1.016840100E0,9.082078934E-3,1.455102921E0,1.775210067E0
3.201383530E-1,7.280666828E-1,-4.290509224E-2,1.666156769E0,1.818790895E0
3.248805930E-1,4.789259434E-1,-1.190876961E-1,1.617085457E0,1.690715030E0
3.296228320E-1,4.186618328E-1,-2.237915993E-1,1.455540657E0,1.530999352E0
3.343650720E-1,4.352664948E-1,-2.950634956E-1,1.154686928E0,1.268787330E0
3.391073120E-1,3.711631298E-1,-3.022649288E-1,8.291769028E-1,9.574238832E-1
3.438495510E-1,2.242033482E-1,-3.045823574E-1,4.103336334E-1,5.580423322E-1
3.485917910E-1,-1.081049442E-1,-3.671784401E-1,-8.444499969E-2,3.919663810E-1
3.533340300E-1,-4.784579277E-1,-3.888690472E-1,-5.319089890E-1,8.142900570E-1
3.580762700E-1,-1.064053774E0,-3.173511028E-1,-6.122779846E-1,1.267993094E0
3.628185100E-1,-1.231133223E0,-2.387993336E-1,-9.492778778E-1,1.572845391E0
3.675607490E-1,-7.786624432E-1,-5.088195801E-1,-1.372078896E0,1.657652877E0
3.723029890E-1,-2.377886772E-1,-6.567814350E-1,-1.778658390E0,1.910897950E0
3.770452280E-1,2.193381786E-1,-6.350982189E-1,-1.967278957E0,2.078856772E0
3.817874680E-1,3.936789036E-1,-3.514635563E-1,-1.649433136E0,1.731802350E0
3.865296550E-1,4.958672523E-1,1.268155575E-1,-6.472935677E-1,8.252002668E-1
3.912718950E-1,6.994261742E-1,5.019288063E-1,5.931568146E-2,8.629298058E-1
3.960141350E-1,8.641102314E-1,4.094347954E-1,8.568191528E-2,9.600337152E-1
4.007563740E-1,1.313521981E0,4.895954132E-1,8.332490921E-1,1.630750659E0
4.054986140E-1,6.319962025E0,1.345108032E0,1.132800961E1,1.304128204E1
4.102408530E-1,8.437480927E0,3.078410387E0,1.518964291E1,1.764632955E1
4.149830930E-1,8.100379944E0,4.409564495E0,1.181391048E1,1.498762474E1
4.197253320E-1,5.144476891E0,4.173140526E0,7.048135757E0,9.672484788E0
4.244675720E-1,1.277936459E0,2.577646494E0,1.986866951E0,3.496430082E0
4.292098120E-1,-1.629025102E0,8.456254005E-1,-1.628828049E0,2.453953119E0
4.339520510E-1,-3.003300667E0,-6.043348312E-1,-3.553359509E0,4.691630770E0
4.386942910E-1,-2.853004456E0,-1.034189820E0,-5.189777374E0,6.011902544E0
4.434365300E-1,-2.335309982E0,-9.749844074E-1,-5.212393761E0,5.794248530E0
4.481787700E-1,-8.620541096E-1,-6.884508133E-1,-4.607528210E0,4.737765086E0
4.529209570E-1,3.776195049E-1,-5.548367500E-1,-2.694570065E0,2.776895414E0
4.576631970E-1,1.320469379E0,-1.791937351E-1,-6.956014633E-1,1.503200310E0
4.624054370E-1,1.778742790E0,1.546413898E-1,5.120239258E-1,1.857419816E0
4.671476760E-1,9.161145687E-1,2.159674168E-1,1.094408035E0,1.443480785E0
4.718899160E-1,-6.241331100E-1,-2.002501488E-2,1.302836418E0,1.444758067E0
4.766321550E-1,-1.956487656E0,-4.879851341E-1,1.418552399E0,2.465413626E0
4.813743950E-1,-2.541239738E0,-1.021241903E0,1.425971985E0,3.087754934E0
4.861166350E-1,-2.400281429E0,-1.463779807E0,1.394763947E0,3.138370394E0
