,Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Absolute acceleration (m/s^2),labels
0,0.049830697,0.0,0.0,0.0,0.0,
1,0.054572937,-0.06470227242,0.003159761429,-0.1128206253,0.1300955866,
2,0.059315176,-0.1919293404,-0.007681846619,-0.2476415634,0.3134042539,
3,0.064057416,-0.4022357464,-0.06306576729,-0.4190502167,0.5842721718,
4,0.068799655,-0.3905675411,-0.1034998894,-0.5305595398,0.6668947867,
5,0.073541947,-0.1105804443,-0.001361370087,-0.496342659,0.5085134444,
6,0.078284187,0.007788658142,0.055747509,-0.1589174271,0.1685918046,
7,0.083026426,-0.07547855377,-0.2704954147,0.2846298218,0.3998486175,
8,0.087768666,-0.1104917526,-0.4613931179,0.2219953537,0.5238071914,
9,0.092510905,-0.116874218,-0.4937508106,0.2287511826,0.5565757355,
10,0.097253145,0.03341507912,-0.305182457,-0.01536178589,0.3073904423,
11,0.101995385,0.1162526608,-0.1644420624,-0.07874584198,0.2162331627,
12,0.106737624,0.1341707706,-0.1982388496,-0.03994369507,0.2426848491,
13,0.111479864,-0.03542542458,-0.2636842728,0.05421352386,0.2715206485,
14,0.116222103,-0.2261919975,-0.3933370113,0.1473464966,0.4770616462,
15,0.120964343,-0.2883687019,-0.4116880894,0.1482973099,0.5240569466,
16,0.125706582,-0.1691222191,-0.4065461159,0.1886205673,0.479019611,
17,0.130448822,-0.0918469429,-0.3858480453,0.3185691833,0.5087247779,
18,0.135191062,0.03970456123,-0.2615277767,0.5728607178,0.6309854453,
19,0.139933301,0.730946064,0.02732896805,0.4091701508,0.8381224453,
20,0.144675541,1.05053997,0.2028679848,0.4276838303,1.15226,
21,0.14941778,1.135326862,0.4358358383,0.3343629837,1.26123692,
22,0.15416002,1.291486979,0.700232029,0.05573177338,1.470159699,
23,0.15890226,1.457654715,0.9530756474,-0.3097343445,1.768910914,
24,0.163644499,1.59297812,1.146275997,-0.693353653,2.081409916,
25,0.168386739,1.708052397,1.297392368,-1.093634129,2.407634847,
26,0.173128978,1.713643789,1.310025215,-1.437679291,2.592231248,
27,0.177871218,1.698685169,1.235879421,-1.735617638,2.724939969,
28,0.182613457,1.596678734,1.041248083,-1.955255032,2.730678082,
29,0.187355697,1.357116461,0.8156273365,-2.088162899,2.62057958,
30,0.192097937,1.04687655,0.5874369144,-2.042254925,2.368931788,
31,0.196840176,0.8950521946,0.3121702671,-1.931846142,2.151882483,
32,0.201582416,0.7024569511,0.01596260071,-1.674566269,1.816004615,
33,0.206324655,0.4320151806,-0.4454283714,-1.322332382,1.460686989,
34,0.211066895,0.1905734539,-0.7939221859,-1.030413628,1.314679779,
35,0.215809135,-0.0863339901,-1.029088736,-0.8244366646,1.321428393,
36,0.220551374,-0.2936885357,-1.175725698,-0.6573758125,1.3786685,
37,0.225293614,-0.4431684017,-1.236740351,-0.5301542282,1.416682192,
38,0.230035853,-0.6650619507,-1.21715045,-0.492770195,1.471932431,
39,0.234778093,-0.8976199627,-1.12151289,-0.5336146355,1.532402473,
40,0.239520332,-1.101504087,-1.072890043,-0.6346321106,1.663478949,
41,0.244262572,-1.228510857,-0.9692902565,-0.7876024246,1.751879021,
42,0.249004812,-1.156998158,-0.937723875,-0.8865523338,1.7331895,
43,0.253747051,-0.7708659172,-0.8638896942,-1.171960831,1.647431897,
44,0.258489291,-0.3456861973,-0.783239603,-1.28895092,1.547371222,
45,0.26323153,-0.2106056213,-0.6928906441,-1.058301449,1.282362713,
46,0.267973718,0.057336092,-0.6519737244,-0.9838452339,1.18165503,
47,0.27271601,0.4940123558,-0.5986394882,-1.034500122,1.29329345,
48,0.277458197,0.8141218424,-0.4438657761,-1.12123394,1.454983419,
49,0.282200437,1.014961481,-0.2905015945,-1.142614365,1.55566885,
50,0.286942676,1.136162758,-0.1316399574,-1.010685444,1.526328915,
51,0.291684916,1.179287314,0.05807614326,-0.6505408287,1.348070762,
52,0.296427155,1.198441505,0.1553351879,-0.1031246185,1.212858503,
53,0.301169395,1.242987871,0.1355428696,0.3920297623,1.310373249,
54,0.305911635,1.28110826,0.07560253143,0.7992630005,1.511878124,
55,0.310653874,1.207939506,0.03917098045,1.125537872,1.651510738,
56,0.315396114,1.0168401,0.009082078934,1.455102921,1.775210067,
57,0.320138353,0.7280666828,-0.04290509224,1.666156769,1.818790895,
58,0.324880593,0.4789259434,-0.1190876961,1.617085457,1.69071503,
59,0.329622832,0.4186618328,-0.2237915993,1.455540657,1.530999352,
60,0.334365072,0.4352664948,-0.2950634956,1.154686928,1.26878733,
61,0.339107312,0.3711631298,-0.3022649288,0.8291769028,0.9574238832,
62,0.343849551,0.2242033482,-0.3045823574,0.4103336334,0.5580423322,
63,0.348591791,-0.1081049442,-0.3671784401,-0.08444499969,0.391966381,
64,0.35333403,-0.4784579277,-0.3888690472,-0.531908989,0.814290057,
65,0.35807627,-1.064053774,-0.3173511028,-0.6122779846,1.267993094,
66,0.36281851,-1.231133223,-0.2387993336,-0.9492778778,1.572845391,
67,0.367560749,-0.7786624432,-0.5088195801,-1.372078896,1.657652877,
68,0.372302989,-0.2377886772,-0.656781435,-1.77865839,1.91089795,
69,0.377045228,0.2193381786,-0.6350982189,-1.967278957,2.078856772,
70,0.381787468,0.3936789036,-0.3514635563,-1.649433136,1.73180235,
