"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.540267600E-2,0.000000000E0,0.000000000E0,0.000000000E0,0.000000000E0
5.014423800E-2,2.216982841E-2,4.665851593E-3,1.089339256E-1,1.112648714E-1
5.488580100E-2,-9.235727787E-2,1.296520233E-2,1.333975792E-1,1.627663275E-1
5.962736300E-2,5.865836143E-2,-6.495571136E-2,1.613240242E-1,1.835360689E-1
6.436887400E-2,-6.628668308E-2,-1.633024216E-2,2.387819290E-1,2.483493724E-1
6.911043600E-2,-2.339494228E-1,1.152944565E-2,2.800254822E-1,3.650746927E-1
7.385199900E-2,-6.035746336E-1,-4.681062698E-2,3.038764000E-1,6.773731908E-1
7.859356100E-2,-6.629596949E-1,-4.516744614E-2,3.052334785E-1,7.312476541E-1
8.333512400E-2,-8.224122524E-1,-7.948923111E-2,3.319730759E-1,8.904417858E-1
8.807663400E-2,-1.041923523E0,-6.723403931E-2,2.712187767E-1,1.078742170E0
9.281819700E-2,-1.140808344E0,-3.828382492E-2,1.264786720E-1,1.148436408E0
9.755975900E-2,-1.224133849E0,-5.483675003E-2,1.128196716E-2,1.225413413E0
1.023013220E-1,-1.282226562E0,-6.045007706E-2,-6.765794754E-2,1.285432521E0
1.070428840E-1,-1.267783403E0,-5.135822296E-2,-1.186060905E-1,1.274354672E0
1.117843950E-1,-1.217954397E0,-3.041553497E-2,-1.844000816E-1,1.232209969E0
1.165259570E-1,-1.106761694E0,-5.639028549E-2,-1.660399437E-1,1.120567077E0
1.212675200E-1,-9.539527893E-1,-9.489631653E-2,-1.382803917E-1,9.685828317E-1
1.260090820E-1,-7.620470524E-1,-7.960081100E-2,-1.467652321E-1,7.801230880E-1
1.307506450E-1,-5.717980862E-1,-2.881765366E-2,-2.032818794E-1,6.075417936E-1
1.354922070E-1,-4.016611576E-1,8.335113525E-3,-1.509466171E-1,4.291690120E-1
1.402337170E-1,-2.764565945E-1,9.828567505E-3,-3.313255310E-2,2.786083549E-1
1.449752800E-1,-1.677968502E-1,-4.101371765E-2,1.159625053E-1,2.080509808E-1
1.497168420E-1,-3.728127480E-2,-1.238756180E-1,2.660799026E-1,2.958607388E-1
1.544584050E-1,7.847523689E-2,-2.147889137E-1,4.224829674E-1,4.804003518E-1
1.591999670E-1,2.497739792E-1,-3.090872765E-1,5.165505409E-1,6.517257448E-1
1.639414780E-1,4.361290932E-1,-3.723134995E-1,5.785641670E-1,8.145934097E-1
1.686830400E-1,6.167199612E-1,-4.562587738E-1,6.096038818E-1,9.798634966E-1
1.734246030E-1,7.599844933E-1,-5.346817970E-1,6.128635406E-1,1.113131966E0
1.781661650E-1,9.115341902E-1,-6.260614395E-1,5.681557655E-1,1.243241119E0
1.829077280E-1,9.279632568E-1,-7.319836617E-1,4.533834457E-1,1.265888003E0
1.876492380E-1,9.177554846E-1,-8.191022873E-1,3.186058998E-1,1.270713739E0
1.923908010E-1,9.090738297E-1,-8.669443130E-1,1.637735367E-1,1.266818630E0
1.971323630E-1,7.896871567E-1,-8.232312202E-1,7.249021530E-2,1.143053052E0
2.018739260E-1,6.616770029E-1,-7.486457825E-1,8.901739120E-2,1.003100723E0
2.066154880E-1,4.316251278E-1,-6.347126961E-1,1.963958740E-1,7.922952712E-1
2.113570510E-1,2.133920193E-1,-5.454401970E-1,3.459520340E-1,6.802381731E-1
2.160985610E-1,-7.091164589E-2,-3.754200935E-1,5.579051971E-1,6.761855641E-1
2.208401240E-1,-6.276233196E-1,-6.075572968E-1,1.036751747E0,1.355688418E0
2.255816860E-1,-1.215267897E0,-1.022843838E0,1.690769672E0,2.319868027E0
2.303232490E-1,-1.603538513E0,-1.148738861E0,2.026627541E0,2.828101116E0
2.350648110E-1,-1.859454870E0,-1.089028835E0,2.410155296E0,3.233017905E0
2.398063220E-1,-1.949756145E0,-1.024401665E0,2.918267250E0,3.656122473E0
2.445478840E-1,-1.747658014E0,-8.879189491E-1,3.296472549E0,3.835288759E0
2.492894470E-1,-1.493645668E0,-8.898863792E-1,3.662941933E0,4.054629299E0
2.540310090E-1,-1.254211903E0,-9.271855354E-1,3.859322548E0,4.162582257E0
2.587725720E-1,-8.673696518E-1,-8.913440704E-1,3.711210251E0,3.914065136E0
2.635141340E-1,-3.290038109E-1,-7.624378204E-1,3.363510132E0,3.464499292E0
2.682556450E-1,2.786953449E-1,-6.165719032E-1,2.894462585E0,2.972498220E0
2.729972070E-1,8.265516758E-1,-4.459357262E-1,2.293853760E0,2.478671300E0
2.777387700E-1,1.282092094E0,-2.617802620E-1,1.774719238E0,2.204975605E0
2.824803320E-1,1.625355721E0,-6.115913391E-2,1.344374657E0,2.110181242E0
2.872218950E-1,1.857561111E0,1.210222244E-1,9.139509201E-1,2.073761304E0
2.919634050E-1,2.021759987E0,3.111767769E-1,6.947450638E-1,2.160327553E0
2.967049670E-1,2.120052576E0,4.764742851E-1,4.995784760E-1,2.229625377E0
3.014465300E-1,2.135574818E0,5.870456696E-1,3.421058655E-1,2.241057528E0
3.061880920E-1,2.129453659E0,6.631474495E-1,1.768589020E-1,2.237323512E0
3.109296550E-1,2.262485027E0,8.023624420E-1,7.893562317E-2,2.401844046E0
3.156712170E-1,2.315722466E0,8.747038841E-1,3.968715668E-2,2.475732718E0
3.204127280E-1,1.861418009E0,6.152052879E-1,1.921186447E-1,1.969838603E0
3.251542900E-1,1.486010313E0,4.817085266E-1,6.640529633E-2,1.563547063E0
3.298958530E-1,1.389795065E0,4.331622124E-1,-2.633094788E-1,1.479355166E0
3.346374150E-1,1.367185593E0,3.890132904E-1,-5.286426544E-1,1.516572069E0
3.393789780E-1,1.229997754E0,2.057652473E-1,-5.663213730E-1,1.369654595E0
3.441204880E-1,1.014261961E0,-6.741714478E-2,-4.084815979E-1,1.095504273E0
3.488620510E-1,7.531092167E-1,-3.683013916E-1,-2.040195465E-2,8.385914661E-1
3.536036130E-1,7.059273720E-1,-6.002373695E-1,4.084262848E-1,1.012635366E0
3.583451760E-1,8.619129658E-1,-8.211245537E-1,9.223918915E-1,1.505970217E0
3.630867380E-1,9.911897182E-1,-1.100058079E0,1.355526924E0,2.007495474E0
3.678283010E-1,1.003721714E0,-1.365988731E0,1.657389641E0,2.370722024E0
3.725698110E-1,1.091219425E0,-1.546700478E0,1.832479477E0,2.634582175E0
3.773113740E-1,1.143319964E0,-1.653632641E0,1.949041367E0,2.800079231E0
3.820529360E-1,1.160170913E0,-1.726098061E0,1.996382713E0,2.882872699E0
3.867944990E-1,1.291203737E0,-1.745981455E0,1.852976799E0,2.854677101E0
3.915360610E-1,1.424174666E0,-1.763673544E0,1.585301399E0,2.766224571E0
3.962776240E-1,1.609136224E0,-1.710876465E0,1.266076088E0,2.668214070E0
4.010191340E-1,1.746936440E0,-1.664317608E0,9.246120453E-1,2.583920947E0
4.057606970E-1,1.806209803E0,-1.687838554E0,5.520725250E-1,2.532977874E0
4.105022590E-1,1.864639401E0,-1.669575214E0,1.443843842E-1,2.507031780E0
4.152438220E-1,1.805119634E0,-1.601019382E0,-1.581220627E-1,2.417999698E0
4.199853840E-1,1.679575682E0,-1.499782562E0,-4.911470413E-1,2.304679505E0
4.247268950E-1,1.610014558E0,-1.413765907E0,-8.801622391E-1,2.316369246E0
4.294684570E-1,1.551416159E0,-1.361678839E0,-1.341041565E0,2.461595791E0
4.342100200E-1,1.451869965E0,-1.329024315E0,-1.785456657E0,2.657458842E0
4.389515820E-1,1.418790936E0,-1.261110783E0,-2.147444725E0,2.866162412E0
4.436931450E-1,1.553796172E0,-1.198317051E0,-2.496706963E0,3.175498694E0
4.484347070E-1,1.714118838E0,-1.092795372E0,-2.887940884E0,3.531657920E0
4.531762170E-1,1.803291798E0,-9.849491119E-1,-3.301858425E0,3.888991530E0
4.579177800E-1,1.770448327E0,-1.009387970E0,-3.681637764E0,4.208064636E0
