"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
7.617500001E-3,-4.025948310E-1,7.421607703E-2,-3.165197235E-1,5.174701532E-1
1.760750000E-2,-7.014650264E-1,1.845761329E-1,-5.423204809E-1,9.056671774E-1
2.759650000E-2,-6.923015624E-1,1.325049233E-1,-6.301035601E-1,9.454467222E-1
3.758650000E-2,-3.640005764E-1,3.118787885E-2,-3.859951705E-1,5.314709541E-1
4.757650000E-2,8.256765515E-2,-2.691385657E-2,-1.086342502E-1,1.390797385E-1
5.756550000E-2,3.284299171E-1,-3.608930737E-2,3.259121060E-2,3.320102944E-1
6.755550000E-2,3.930685472E-1,-2.577335715E-2,2.151336819E-1,4.488314270E-1
7.754550000E-2,3.031573740E-1,3.940672517E-2,9.335781455E-2,3.196450608E-1
8.753550000E-2,1.089292422E-1,1.350335518E-1,-7.525834322E-2,1.891122897E-1
9.752450000E-2,-5.789825231E-2,2.026612785E-1,-1.154778314E-1,2.403308781E-1
1.075145000E-1,-1.119659936E-1,2.278589773E-1,-6.429422915E-2,2.618966307E-1
1.175045000E-1,-1.011512759E-1,1.435754567E-1,-3.883837581E-2,1.798719318E-1
1.274935000E-1,-1.180076292E-1,-3.156473190E-2,-4.698179305E-2,1.308794168E-1
1.374835000E-1,-1.899353984E-1,-1.588697264E-1,-9.962953806E-2,2.669102665E-1
1.474735000E-1,-2.430061895E-1,-1.355530769E-1,-1.748112828E-1,3.286116695E-1
1.574625000E-1,-2.341698772E-1,-8.033284932E-2,-2.611869371E-1,3.598715245E-1
1.674525000E-1,-1.825348699E-1,-7.816557884E-3,-2.575189787E-1,3.157468950E-1
1.774425000E-1,-2.018254191E-2,1.735102773E-2,-2.119902188E-1,2.136545015E-1
1.874325000E-1,7.012302607E-2,-3.181470037E-3,-2.000975668E-1,2.120528160E-1
1.974215000E-1,1.234043169E-1,-2.679457337E-2,-1.139154553E-1,1.700685319E-1
2.074115000E-1,6.383931577E-2,-2.529651672E-2,-1.505985475E-1,1.655152395E-1
2.174015000E-1,1.750276297E-2,-2.104003608E-2,-3.067788470E-1,3.079972253E-1
2.273905000E-1,-3.909156024E-2,-3.269265980E-2,-4.504753411E-1,4.533486440E-1
2.373805000E-1,-1.783769149E-1,3.233217895E-3,-5.146204662E-1,5.446677902E-1
2.473705000E-1,-2.980460304E-1,5.680102229E-2,-4.445439255E-1,5.382165866E-1
2.573605000E-1,-2.870468330E-1,6.868168741E-2,-4.175128323E-1,5.113022821E-1
2.673495000E-1,-2.361006278E-1,-2.304095328E-2,-3.788446105E-1,4.469872826E-1
2.773395000E-1,-1.856052428E-1,-9.383114666E-2,-3.112648308E-1,3.743519536E-1
2.873295000E-1,-1.603183740E-1,-3.025700212E-2,-1.797831702E-1,2.427744952E-1
2.973185000E-1,-7.795624852E-2,3.799725384E-2,8.943784118E-2,1.245796750E-1
3.073085000E-1,5.292314887E-3,3.256519049E-2,1.816601264E-1,1.846318005E-1
3.172985000E-1,1.029875940E-1,1.171325934E-1,2.191021872E-1,2.689465697E-1
3.272885000E-1,1.446431583E-1,1.895374954E-1,1.609691691E-1,2.876754748E-1
3.372775000E-1,1.284931487E-1,1.113260159E-1,7.465081751E-2,1.856790662E-1
3.472675000E-1,1.104363620E-2,4.198680907E-2,-5.953985810E-2,7.368750735E-2
3.572575000E-1,-7.913402393E-2,3.655679226E-2,-1.758684593E-1,1.962862904E-1
3.672465000E-1,-2.180888647E-1,1.708243588E-1,-1.730442542E-1,3.266313340E-1
3.772365000E-1,-3.277867234E-1,2.448623881E-1,-2.051852292E-1,4.577146528E-1
3.872265000E-1,-3.246135856E-1,2.272166607E-1,-2.722896302E-1,4.807733703E-1
3.972155000E-1,-2.329755834E-1,2.124673516E-1,-2.818907583E-1,4.229449107E-1
4.072055000E-1,-1.471380191E-1,2.473854616E-1,-2.641736948E-1,3.906877325E-1
4.171955000E-1,-5.232585579E-2,2.821182150E-1,-3.185077769E-1,4.286908983E-1
4.271855000E-1,6.719474047E-3,2.381132394E-1,-3.208127493E-1,3.995796369E-1
4.371745000E-1,1.138965981E-1,1.314132482E-1,1.074308932E-2,1.742334377E-1
4.471645000E-1,2.143897699E-1,-1.734547287E-2,1.332837725E-1,2.530383427E-1
4.571545000E-1,2.309044996E-1,-1.143534118E-1,8.357425332E-3,2.578050373E-1
4.671435000E-1,2.249380007E-1,-1.032629979E-1,8.669842064E-2,2.622536311E-1
4.771335000E-1,1.901384430E-1,4.264315903E-2,1.668619931E-1,2.565423771E-1
4.871235000E-1,6.646310762E-2,2.033863333E-1,1.176646900E-1,2.441891163E-1
4.971135000E-1,-1.373768234E-1,2.698095337E-1,1.321558446E-1,3.303554802E-1
5.071025000E-1,-2.706842771E-1,3.198184302E-1,1.158245713E-1,4.347058057E-1
5.170925000E-1,-3.462288415E-1,4.084633890E-1,-8.950917721E-3,5.355341910E-1
5.270825000E-1,-4.282031505E-1,4.331246057E-1,-1.240545273E-1,6.215660769E-1
5.370715000E-1,-3.828006904E-1,4.233471841E-1,-2.586433983E-1,6.266223857E-1
5.470615000E-1,-2.631502859E-1,3.545789579E-1,-1.479959518E-1,4.657006679E-1
5.570515000E-1,-3.273696707E-1,2.936106250E-1,1.255923450E-2,4.399270789E-1
5.670405000E-1,-2.041700064E-1,4.036204326E-1,1.653750461E-1,4.816053893E-1
5.770305000E-1,8.462295145E-2,4.758411473E-1,2.706173265E-1,5.539129704E-1
5.870205000E-1,-2.245373203E-1,7.004502422E-1,8.435485661E-2,7.403805047E-1
5.970105000E-1,-2.430285551E-1,9.358310777E-1,4.317794538E-1,1.058903292E0
6.069995000E-1,-3.147198775E-1,1.045185412E0,9.574406326E-1,1.451948247E0
6.169895000E-1,-3.432281967E-1,1.107809969E0,1.066344439E0,1.575480557E0
6.269795000E-1,-2.717509554E-1,1.162150045E0,5.381905925E-1,1.309232761E0
6.369685000E-1,1.457089595E-2,1.311253459E0,-7.078054547E-3,1.311353516E0
6.469585000E-1,3.585633602E-1,1.392644216E0,-4.384651601E-2,1.438731425E0
6.569485000E-1,5.944282356E-1,1.367832579E0,3.306091744E-1,1.527616876E0
6.669385000E-1,5.256311388E-1,1.319748294E0,6.181249541E-1,1.549226295E0
6.769275000E-1,2.423519226E-1,1.236287477E0,2.580212545E-1,1.285968953E0
6.869175000E-1,-2.238796547E-2,9.598327285E-1,-1.608200651E-1,9.734696611E-1
6.969075000E-1,-3.673207717E-1,5.111520441E-1,-2.567986017E-1,6.798135651E-1
7.068965000E-1,-7.866307457E-1,-4.418492362E-2,-2.425682330E-1,8.243661718E-1
7.168865000E-1,-1.065329509E0,-4.932749131E-1,2.032082856E-2,1.174163548E0
7.268765000E-1,-1.236941780E0,-7.323444647E-1,3.625256163E-1,1.482490541E0
7.368665000E-1,-1.190470522E0,-7.106048092E-1,5.523496252E-1,1.492403889E0
7.468555000E-1,-9.005258819E-1,-5.720240441E-1,7.659624463E-1,1.313338053E0
7.568455000E-1,-7.150435768E-1,-5.593583903E-1,7.987542164E-1,1.209205286E0
7.668355000E-1,-5.355778373E-1,-8.777449836E-1,1.052174882E0,1.471173633E0
7.768245000E-1,-1.822127980E-1,-1.171332074E0,1.463061649E0,1.883021434E0
7.868145000E-1,-2.219103856E-1,-7.234109424E-1,1.191527479E0,1.411490469E0
7.968045000E-1,-5.221157196E-1,7.755790696E-2,5.993670863E-1,7.986619796E-1
8.067935000E-1,-8.692527799E-1,4.387431952E-1,6.155305445E-2,9.756458196E-1
8.167835000E-1,-3.719835242E-1,4.935485628E-1,-5.338455266E-1,8.166718878E-1
8.267735000E-1,-7.455267200E-1,1.086044294E-1,-1.034104646E0,1.279444189E0
8.367635000E-1,-1.447022444E0,-4.670773405E-1,-1.397356487E0,2.065100566E0
8.467525000E-1,-1.379028389E0,-3.628261632E-1,-2.356797452E0,2.754606388E0
8.567425000E-1,-1.334191063E0,3.224710196E-2,-2.523272944E0,2.854472284E0
8.667325000E-1,-1.481343992E0,-2.066865018E-1,-2.756139477E0,3.135825912E0
8.767215000E-1,-1.642942322E0,-7.798033905E-1,-2.846563159E0,3.377909800E0
8.867115000E-1,-1.415028527E0,-9.159406042E-1,-2.663476312E0,3.152040448E0
8.967015000E-1,-9.402511342E-1,-8.871471602E-1,-2.416861805E0,2.740861774E0
9.066915000E-1,-7.553702152E-1,-9.172299153E-1,-2.461852037E0,2.733607567E0
9.166805000E-1,-6.924471581E-1,-1.125466222E0,-2.775462770E0,3.073979647E0
9.266707500E-1,-6.790206353E-1,-1.471477839E0,-3.066247728E0,3.468168275E0
9.366607500E-1,-8.462097801E-1,-1.618237397E0,-3.274836622E0,3.749575731E0
9.466497500E-1,-1.121856297E0,-1.480014189E0,-3.565205258E0,4.019911950E0
9.566397500E-1,-1.389583783E0,-1.297453884E0,-3.791286097E0,4.241247451E0
9.666297500E-1,-1.344886790E0,-1.104124469E0,-3.626309831E0,4.022180293E0
9.766187500E-1,-1.061483649E0,-7.909421901E-1,-3.611898783E0,3.846836350E0
9.866087500E-1,-8.486069924E-1,-5.744709577E-1,-4.043620934E0,4.171453101E0
9.965987500E-1,-1.217500519E0,-9.205385622E-1,-4.657336503E0,4.901069482E0
1.006588750E0,-2.012998713E0,-1.685123843E0,-5.664040512E0,6.242848798E0
1.016577750E0,-2.231473056E0,-2.602901496E0,-6.719360611E0,7.543498871E0
1.026567750E0,-1.414474942E0,-2.514145440E0,-5.642458439E0,6.337113215E0
1.036557750E0,-1.221255016E0,-1.320464724E0,-3.881802165E0,4.278256531E0
1.046546750E0,-1.829797699E0,-1.331469915E0,-4.648372137E0,5.169945384E0
1.056536750E0,-1.820309861E0,-2.061777502E0,-5.836151551E0,6.451753202E0
1.066526750E0,-1.829005255E0,-1.895568204E0,-6.259325657E0,6.790993795E0
1.076516750E0,-1.609551651E0,-1.575482118E0,-6.678406713E0,7.047972520E0
1.086505750E0,-1.658491676E0,-1.342101615E0,-6.752414922E0,7.081450322E0
1.096495750E0,-1.917543210E0,-1.361916367E0,-7.164024405E0,7.540227704E0
1.106485750E0,-1.991737945E0,-1.073171356E0,-6.794466927E0,7.161249725E0
1.116474750E0,-2.436168142E0,-7.973432833E-1,-6.753059285E0,7.223190516E0
1.126464750E0,-2.635333955E0,-7.675349088E-1,-6.045312887E0,6.639269748E0
1.136454750E0,-2.280481932E0,-9.403417660E-1,-5.105870569E0,5.670516268E0
1.146443750E0,-1.642050768E0,-7.335416821E-1,-4.183289866E0,4.553496264E0
1.156433750E0,-5.608134699E-1,-3.792330118E-1,-2.987310317E0,3.063062578E0
1.166423750E0,3.290663865E-1,-4.720539057E-1,-1.982753990E0,2.064566047E0
1.176413750E0,4.901469451E-1,-2.163393778E-1,-1.087256421E0,1.212094584E0
1.186402750E0,5.584453475E-1,1.534209985E-1,-5.204694360E-1,7.786447475E-1
1.196392750E0,1.866065785E-1,2.238694221E-2,-2.866480529E-1,3.427685758E-1
1.206382750E0,-1.950943968E-1,9.158435404E-2,9.941494524E-2,2.373454211E-1
1.216371750E0,-2.182879624E-1,2.460520041E-1,7.134556192E-1,7.856272296E-1
1.226361750E0,8.493870109E-2,2.750873767E-1,1.357784286E0,1.387971835E0
1.236351750E0,6.372693229E-1,3.151158071E-1,1.854228682E0,1.985843440E0
1.246340750E0,1.402163483E0,2.909410787E-1,2.524942909E0,2.902765205E0
1.256330750E0,2.228570936E0,2.772602020E-1,3.203810493E0,3.912518794E0
1.266320750E0,2.830283633E0,2.893994603E-1,3.780325491E0,4.731291400E0
1.276310750E0,3.037839031E0,2.450885291E-1,3.966545277E0,5.002201095E0
1.286299750E0,2.588487233E0,5.423701823E-2,3.780966931E0,4.582457718E0
1.296289750E0,1.876239941E0,1.544157560E-1,3.439770788E0,3.921242611E0
1.306279750E0,1.675054207E0,9.400700167E-2,3.101576021E0,3.526246974E0
1.316268750E0,1.932254805E0,9.760844797E-2,2.893882336E0,3.481047402E0
1.326258750E0,2.208638948E0,2.840711850E-1,2.751368734E0,3.539606242E0
1.336248750E0,2.525205157E0,6.399969028E-1,2.646938632E0,3.713831073E0
1.346237750E0,2.848971042E0,9.615158495E-1,2.741229662E0,4.068843667E0
1.356227750E0,3.037225074E0,1.238331078E0,3.046490571E0,4.476528209E0
1.366217750E0,3.418152462E0,1.467843795E0,3.411212987E0,5.047247339E0
1.376207750E0,3.701343641E0,1.612599219E0,4.039988644E0,5.711561016E0
1.386196750E0,3.734237153E0,1.669076744E0,4.981264064E0,6.445412009E0
1.396186750E0,4.095373763E0,1.658866336E0,6.170116442E0,7.589088265E0
1.406176750E0,4.543760479E0,1.765376878E0,7.393667952E0,8.855994614E0
1.416165750E0,4.761147970E0,2.043086585E0,8.431645210E0,9.896230279E0
1.426155750E0,4.858487154E0,2.265244527E0,9.228964520E0,1.067286355E1
1.436145750E0,5.113070830E0,2.326227916E0,1.006953451E1,1.153041001E1
1.446134750E0,5.638412751E0,2.565514399E0,1.098293509E1,1.260945778E1
1.456124750E0,6.609445821E0,2.839876283E0,1.198822933E1,1.398096255E1
1.466114750E0,6.973922653E0,3.024005104E0,1.270373323E1,1.480422379E1
1.476104750E0,6.811274164E0,3.155430631E0,1.316851671E1,1.515783726E1
1.486093750E0,6.593598697E0,3.068426986E0,1.349792311E1,1.533247261E1
1.496083750E0,6.455542427E0,2.918155590E0,1.357069522E1,1.530860636E1
1.506073750E0,6.358678038E0,2.851324546E0,1.321565696E1,1.494042928E1
1.516062750E0,6.426019835E0,2.794955633E0,1.223823289E1,1.410247681E1
1.526052750E0,6.408431411E0,2.781920435E0,1.093528496E1,1.297642214E1
1.536042750E0,6.364467366E0,2.871074687E0,9.929922885E0,1.213889959E1
1.546031750E0,6.421808671E0,2.851511950E0,9.437544642E0,1.176596770E1
1.556021750E0,6.517015375E0,2.841900589E0,9.523640800E0,1.188476430E1
1.566011750E0,6.721258033E0,2.839282206E0,1.025814815E1,1.258834526E1
1.576001750E0,6.764956030E0,2.531583007E0,1.154857368E1,1.362142051E1
1.585990750E0,6.768978914E0,2.299335402E0,1.303455700E1,1.486626029E1
1.595980750E0,6.817960455E0,1.925658853E0,1.403955771E1,1.572583631E1
1.605970750E0,6.573291317E0,1.676992413E0,1.439765991E1,1.591581205E1
1.615959750E0,6.416801115E0,1.508181250E0,1.411199302E1,1.557556722E1
1.625949750E0,6.206392568E0,1.246739521E0,1.315063826E1,1.459496334E1
1.635939750E0,5.759091681E0,9.914155868E-1,1.191621853E1,1.327201213E1
1.645928750E0,5.422760421E0,5.463492125E-1,1.068213677E1,1.199220055E1
1.655918750E0,5.288570330E0,2.005302608E-3,9.399044820E0,1.078475886E1
