"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.007583333E-3,-3.329308113E-1,2.881233054E-1,-1.075352075E0,1.161998300E0
1.299658333E-2,-2.230825330E-1,1.005802953E-1,-1.042542763E0,1.070877036E0
2.298458333E-2,-3.119241044E-1,1.965711111E-1,-6.423289186E-1,7.406235807E-1
3.297258333E-2,-3.223758562E-1,5.313581210E-1,-3.366826773E-1,7.068400601E-1
4.296058333E-2,-2.050036731E-1,6.429066235E-1,-5.105449569E-1,8.461746779E-1
5.294958333E-2,-8.612407789E-2,5.832392961E-1,-9.968029189E-1,1.158102540E0
6.293758333E-2,-1.171787864E-1,3.193795967E-1,-1.332780422E0,1.375513667E0
7.292558333E-2,-3.945310821E-1,2.867679209E-1,-1.330377801E0,1.416967081E0
8.291358333E-2,-5.559606463E-1,4.375986028E-1,-1.063484566E0,1.277334803E0
9.290258333E-2,-6.661119566E-1,5.045620859E-1,-6.859193265E-1,1.081098219E0
1.028905833E-1,-4.162576544E-1,2.551958799E-1,-3.117156512E-1,5.792771523E-1
1.128785833E-1,-3.051354505E-1,-1.945836425E-2,-5.135843396E-2,3.100386425E-1
1.228665833E-1,-8.734984432E-1,-1.379831797E-1,5.018934166E-1,1.016826381E0
1.328555833E-1,-1.106383687E0,-2.123182476E-1,7.278099489E-1,1.341220050E0
1.428435833E-1,-1.002334750E0,-4.348404711E-1,6.094769222E-1,1.251088848E0
1.528315833E-1,-1.239323936E0,-6.177390379E-1,6.009089971E-1,1.509508847E0
1.628195833E-1,-1.393394998E0,-2.707927430E-1,3.098363560E-1,1.452885714E0
1.728085833E-1,-1.287601910E0,6.974383414E-2,-9.353790879E-3,1.289523313E0
1.827965833E-1,-8.979126882E-1,-1.231780297E-1,-1.081805062E-1,9.127557420E-1
1.927845833E-1,-3.646756375E-1,-8.447910994E-1,-1.166098523E-1,9.275010404E-1
2.027735833E-1,-1.201950726E-1,-1.710440387E0,1.529631615E-2,1.714726552E0
2.127615833E-1,-2.006263013E-1,-2.043170346E0,1.316699409E-1,2.057214852E0
2.227495833E-1,-4.359265915E-1,-1.531755323E0,5.627313566E-1,1.689074582E0
2.327375833E-1,-6.386954588E-1,-6.500536752E-1,1.103128104E0,1.430871512E0
2.427265833E-1,-7.531558746E-1,4.288347960E-2,1.004987851E0,1.256615831E0
2.527145833E-1,-5.809492341E-1,3.962991339E-1,1.228074331E0,1.415175459E0
2.627025833E-1,-1.159342065E-1,3.912629271E-1,1.222791957E0,1.289087890E0
2.726905833E-1,9.538855255E-3,1.978645152E-1,7.695327562E-1,7.946206762E-1
2.826785833E-1,-3.790913630E-1,9.404895544E-2,8.104626811E-1,8.996695087E-1
2.926675833E-1,-5.662671679E-1,-1.005954981E-1,8.905642730E-1,1.060133333E0
3.026555833E-1,-4.418290633E-1,-4.007821941E-1,1.106779690E0,1.257298918E0
3.126435833E-1,-2.902353197E-2,-5.526682985E-1,1.060386127E0,1.196120124E0
