"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.770041667E-3,7.118176679E-1,9.220176154E-1,-1.808622739E0,2.151259419E0
1.476004167E-2,2.132274896E-1,1.064049992E0,-1.690399055E0,2.008760143E0
2.475004167E-2,2.501906633E-2,1.163457336E0,-1.272366405E0,1.724289765E0
3.474004167E-2,4.805820698E-1,1.032803056E0,-1.313077644E0,1.738336612E0
4.473004167E-2,1.030380993E0,7.415292710E-1,-1.292000186E0,1.811302054E0
5.471904167E-2,1.338693565E0,6.879810548E-1,-1.210278915E0,1.931370872E0
6.470904167E-2,1.358330854E0,7.478471875E-1,-1.228419317E0,1.978219438E0
7.469904167E-2,1.254085085E0,7.401703781E-1,-1.278213036E0,1.937630036E0
8.468904167E-2,1.027583758E0,6.706884992E-1,-1.312012866E0,1.796421221E0
9.467904167E-2,8.306773096E-1,6.309829813E-1,-1.398027163E0,1.744317707E0
1.046685000E-1,7.272785832E-1,6.627427179E-1,-1.474553767E0,1.772701571E0
1.146585000E-1,7.123595586E-1,7.608934951E-1,-1.302777774E0,1.668425899E0
1.246485000E-1,6.759659037E-1,7.930344701E-1,-1.373329108E0,1.723910210E0
1.346385000E-1,5.974531464E-1,8.169431502E-1,-1.422425255E0,1.745749116E0
1.446285000E-1,4.604553688E-1,9.822655714E-1,-1.438430253E0,1.801651019E0
1.546175000E-1,3.133591573E-1,1.119478673E0,-1.478041631E0,1.880434397E0
1.646075000E-1,2.590356734E-1,1.077965196E0,-1.526208655E0,1.886377826E0
1.745975000E-1,2.469633657E-1,9.423641717E-1,-1.811663876E0,2.056980101E0
1.845875000E-1,1.948398967E-1,9.118949157E-1,-2.007056773E0,2.213095527E0
1.945775000E-1,2.683093574E-1,1.043508723E0,-2.036384068E0,2.303857729E0
2.045675000E-1,4.254246998E-1,1.131582994E0,-2.212338481E0,2.521092581E0
2.145575000E-1,5.282130499E-1,1.117842622E0,-2.367962710E0,2.671297166E0
2.245475000E-1,5.598195163E-1,1.181164459E0,-2.382517015E0,2.717523633E0
2.345375000E-1,6.011116762E-1,1.315473248E0,-2.311418965E0,2.726621123E0
2.445275000E-1,6.757144003E-1,1.508009196E0,-2.106401551E0,2.677239097E0
2.545165000E-1,7.455756904E-1,1.688318908E0,-1.748021611E0,2.542023485E0
2.645065000E-1,7.919264958E-1,1.753852747E0,-1.626857362E0,2.519883313E0
2.744965000E-1,7.666392615E-1,1.803233652E0,-1.577019789E0,2.515229369E0
2.844865000E-1,5.937353405E-1,1.856600897E0,-1.376880707E0,2.386480469E0
2.944765000E-1,3.755685617E-1,1.900562896E0,-1.391096458E0,2.385024197E0
3.044665000E-1,1.476337168E-1,1.953619361E0,-1.389938124E0,2.402155764E0
3.144565000E-1,-3.511399180E-2,1.988735692E0,-1.329479084E0,2.392450058E0
3.244465000E-1,-1.746567701E-1,2.036043760E0,-1.318082276E0,2.431731906E0
3.344365000E-1,-1.642462412E-1,2.056027204E0,-1.176617664E0,2.374584978E0
3.444265000E-1,-3.459358960E-2,2.101012757E0,-1.041770346E0,2.345364956E0
3.544155000E-1,7.624228343E-2,2.142756322E0,-9.883852673E-1,2.360958064E0
3.644055000E-1,1.459501572E-1,2.199238087E0,-7.127826047E-1,2.316464688E0
3.743955000E-1,3.224344745E-2,2.362551989E0,-3.481794727E-1,2.388288192E0
3.843855000E-1,-1.919449402E-1,2.549786851E0,2.596689999E-2,2.557133185E0
3.943755000E-1,-3.429353973E-1,2.698612230E0,3.684120083E-1,2.745148460E0
4.043655000E-1,-3.984516402E-1,2.625041101E0,5.881451100E-1,2.719470383E0
4.143555000E-1,-5.696680547E-1,2.422113774E0,8.554306930E-1,2.631143953E0
4.243455000E-1,-8.015370525E-1,2.249296392E0,1.288343922E0,2.713231647E0
4.343355000E-1,-8.453492162E-1,2.034113886E0,1.883274141E0,2.898095252E0
4.443255000E-1,-7.951100855E-1,1.725590815E0,2.453153134E0,3.102873508E0
4.543155000E-1,-7.121500821E-1,1.347427112E0,2.722242583E0,3.119827278E0
4.643045000E-1,-6.074920848E-1,8.980414000E-1,2.808146952E0,3.010185093E0
4.742945000E-1,-8.351186353E-1,4.821421069E-1,2.934850268E0,3.089211913E0
4.842845000E-1,-1.366532597E0,2.252107733E-1,2.985978906E0,3.291534788E0
4.942745000E-1,-1.928456453E0,1.369757044E-1,3.061700349E0,3.621010310E0
5.042645000E-1,-2.258187230E0,5.101695657E-4,2.936940063E0,3.704730322E0
5.142545000E-1,-2.362809413E0,-2.770451707E-1,2.668386803E0,3.574900066E0
5.242445000E-1,-2.129696566E0,-5.151326823E-1,2.356005739E0,3.217410789E0
5.342345000E-1,-1.644519170E0,-6.307110858E-1,2.050506263E0,2.703112226E0
5.442245000E-1,-1.208795550E0,-6.444958967E-1,1.784810538E0,2.249913398E0
5.542145000E-1,-1.034199664E0,-5.831077337E-1,1.528703662E0,1.935592534E0
5.642035000E-1,-1.025416196E0,-5.504472336E-1,1.483653204E0,1.885655685E0
5.741935000E-1,-1.102847583E0,-3.894207618E-1,1.549505131E0,1.941362273E0
