"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.021958335E-3,-2.459425698E-1,1.680179876E-1,-5.756291449E-1,6.481255313E-1
1.101295833E-2,7.690184936E-3,-5.875925481E-2,-8.189089841E-1,8.210503719E-1
2.100295833E-2,2.136367581E-1,-1.641702273E-1,-8.001212955E-1,8.442669101E-1
3.099295833E-2,2.780476758E-1,-2.061947510E-1,-6.225466186E-1,7.123138898E-1
4.098295833E-2,1.813072470E-1,-2.103144068E-1,-4.822035027E-1,5.564392918E-1
5.097295833E-2,3.173903374E-2,-1.660878217E-1,-3.843591195E-1,4.199100660E-1
6.096295833E-2,-4.956021415E-2,-9.905797273E-2,-2.188355541E-1,2.452706598E-1
7.095295833E-2,-3.519066341E-2,-7.376087129E-2,4.498263001E-3,8.184914963E-2
8.094295833E-2,4.015120363E-2,-1.167279661E-1,2.741414434E-1,3.006510738E-1
9.093295833E-2,2.065112315E-2,-7.154813871E-2,3.819348639E-1,3.891270298E-1
1.009229583E-1,-3.378263561E-2,4.689759314E-3,4.983289540E-1,4.994947514E-1
1.109139583E-1,-2.558292065E-2,5.703052551E-2,4.411051780E-1,4.455117784E-1
1.209039583E-1,-6.151559573E-2,8.968941763E-2,2.427243537E-1,2.659764501E-1
1.308939583E-1,-9.472180551E-2,1.088929895E-1,6.147762537E-3,1.444565629E-1
1.408839583E-1,-9.325117595E-2,6.427727222E-2,-1.143879104E-1,1.609718720E-1
1.508739583E-1,-9.957722375E-2,4.094176546E-2,-1.340462494E-1,1.719309414E-1
1.608639583E-1,-1.388866293E-1,2.692467391E-2,-8.653703749E-2,1.658405642E-1
1.708539583E-1,-1.176345769E-1,-2.526274905E-2,-7.621494770E-2,1.424247816E-1
1.808439583E-1,-9.635286804E-2,4.647951722E-3,-7.894442797E-2,1.246503163E-1
1.908339583E-1,-1.049374942E-1,-1.472518936E-2,-4.320975423E-2,1.144368462E-1
2.008249583E-1,-8.155806027E-2,-2.657091737E-2,-1.276681066E-2,8.672209810E-2
2.108149583E-1,-7.736387076E-2,2.392519847E-2,-2.725153327E-2,8.544138158E-2
2.208049583E-1,-9.314963540E-2,4.215769395E-2,-7.832462311E-2,1.287977963E-1
2.307949583E-1,-9.901657627E-2,3.220251694E-2,-1.018801314E-1,1.456737644E-1
2.407849583E-1,-1.164876912E-1,2.993262783E-2,-8.988690734E-2,1.501499268E-1
2.507749583E-1,-1.631227535E-1,1.708410233E-2,-4.683210433E-2,1.705700597E-1
2.607649583E-1,-1.725326594E-1,1.558414534E-2,3.479093313E-4,1.732354039E-1
2.707549583E-1,-1.248111113E-1,2.109675407E-2,4.663096011E-2,1.348974906E-1
2.807449583E-1,-7.449928327E-3,5.072678849E-2,1.232265615E-1,1.334672019E-1
2.907359583E-1,9.124756356E-2,3.258156270E-2,1.124518973E-1,1.484355257E-1
3.007259583E-1,1.665376919E-1,2.230303466E-2,6.379604638E-2,1.797280270E-1
3.107159583E-1,1.362377584E-1,5.315426007E-2,-3.065110445E-2,1.494175103E-1
3.207059583E-1,3.449867285E-2,4.972194448E-2,-8.845901728E-2,1.071794193E-1
