"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.131416666E-3,1.980887559E-1,4.857439917E-1,-8.160935497E-1,9.701520822E-1
1.112041667E-2,3.498763347E-1,2.548275054E-1,-1.037291379E0,1.123976829E0
2.110941667E-2,3.020588283E-1,3.273130989E-1,-1.152447613E0,1.235519689E0
3.109841667E-2,2.065314044E-1,5.378017527E-1,-1.157970309E0,1.293360422E0
4.108841667E-2,1.736139192E-1,5.799549150E-1,-8.581578344E-1,1.050202059E0
5.107741667E-2,3.594929579E-1,4.376266694E-1,-8.328768128E-1,1.007192173E0
6.106641667E-2,4.107025802E-1,3.259664851E-1,-9.420086610E-1,1.078105318E0
7.105541667E-2,2.994661729E-1,2.933518857E-1,-9.094045866E-1,1.001375064E0
8.104441667E-2,4.532877056E-1,9.292044282E-2,-8.127857798E-1,9.352671686E-1
9.103441667E-2,7.356305999E-1,1.256467241E-1,-8.131845599E-1,1.103724878E0
1.010234167E-1,7.442331697E-1,2.674130523E-1,-8.976019818E-1,1.196278425E0
1.110124167E-1,5.588654700E-1,4.084344453E-1,-8.348543411E-1,1.084495772E0
1.210014167E-1,3.335930085E-1,5.776388329E-1,-9.496036094E-1,1.160473150E0
1.309904167E-1,2.658820320E-1,7.877509260E-1,-1.046889583E0,1.336870441E0
1.409794167E-1,4.065441135E-1,9.317140532E-1,-1.061249760E0,1.469564645E0
1.509694167E-1,8.322947225E-1,8.635045284E-1,-1.186484841E0,1.687039079E0
1.609584167E-1,1.133001017E0,6.345930523E-1,-1.054547682E0,1.672862953E0
1.709474167E-1,1.263073425E0,4.285722560E-1,-6.999175608E-1,1.506291223E0
1.809364167E-1,1.239695965E0,3.353015649E-1,-3.064899945E-1,1.320306533E0
1.909254167E-1,1.001136583E0,3.419469255E-1,2.419577837E-3,1.057926279E0
2.009144167E-1,6.520413630E-1,4.299364114E-1,8.888820291E-2,7.860689344E-1
2.109044167E-1,1.924770734E-1,6.124993479E-1,-7.839245081E-2,6.467984627E-1
2.208934167E-1,-1.736851456E-1,8.656878787E-1,-2.597368276E-1,9.203506141E-1
2.308824167E-1,-6.058468245E-1,1.037628179E0,-5.397213936E-1,1.317202260E0
2.408714167E-1,-6.886471257E-1,9.923917794E-1,-9.837425780E-1,1.557827259E0
2.508604167E-1,-6.455359702E-1,8.533572704E-1,-1.095502165E0,1.531358976E0
2.608494167E-1,-5.385241762E-1,9.403199852E-1,-9.409468067E-1,1.435127470E0
2.708394167E-1,-2.600231950E-1,1.070350367E0,-8.831763160E-1,1.411829443E0
2.808284167E-1,6.769760102E-2,1.080251457E0,-7.482255024E-1,1.315814416E0
2.908174167E-1,2.971514064E-1,9.925350362E-1,-3.186317378E-1,1.083951540E0
3.008064167E-1,2.165561633E-1,9.502690226E-1,-1.756304777E-1,9.903301731E-1
3.107954167E-1,-2.994293354E-1,9.803003222E-1,1.058468825E-1,1.030461164E0
3.207844167E-1,-8.247906983E-1,1.306229970E0,3.370557296E-1,1.581177724E0
